Date,Username,Summary/Quote,Link,Heading,Subheading
2025-11-01,@RupertLowe10,All councils should be implementing free car parking in select areas to boost footfall. Our high streets are dying... That starts with parking.,https://x.com/RupertLowe10/status/1855592738472734720,Reviving High Streets and Town Centres,Implement free or cheaper parking in town centres
,,"It starts with car parking, make it free same as out of town...""  (see replies)",https://x.com/RupertLowe10/status/1855592738472734720,Reviving High Streets and Town Centres,Implement free or cheaper parking in town centres
2025-12-01,@Bowmore_SOU,"One solution would be to pedestrianise the whole street, removing any distinction between pavement and road... Pedestrians would then be free to walk anywhere with no kerbs to negotiate.",https://x.com/Bowmore_SOU/status/1867549823472935184,Reviving High Streets and Town Centres,Pedestrianise streets or remove distinctions between pavement and road
2025-12-01,@heritage_surv,"Fuck the cars off, install benches, seats, tables, cafes... do what they do in Europe and make it a safe place to be social with no traffic.",https://x.com/heritage_surv/status/1869034710293471742,Reviving High Streets and Town Centres,Pedestrianise streets or remove distinctions between pavement and road
2025-09-01,@jimthegiant,"Thread describing pedestrianised zones with cheap trams, subsidised local restaurants, murals, etc.",https://x.com/jimthegiant/status/1835661829348172288,Reviving High Streets and Town Centres,Pedestrianise streets or remove distinctions between pavement and road
2025-08-01,@modacitylife,Camden High Street pedestrianisation trial to rebalance space for people.,https://x.com/modacitylife/status/1827682941628391734,Reviving High Streets and Town Centres,Pedestrianise streets or remove distinctions between pavement and road
2025-06-01,@Heidi_Labour,"Announcing funding for mass transit, metro extensions, and zero-emission buses.",https://x.com/Heidi_Labour/status/1933461284719280462,Public Transport and Reducing Car Dependency,Prioritise investment in public transport
2025-06-01,@sebastiansalek,£3 fare cap extension saving passengers up to 80%.,https://x.com/sebastiansalek/status/1933478923472912834,Public Transport and Reducing Car Dependency,Prioritise investment in public transport
2025-09-01,@boys_nicholas,"Advocating trams, gentle density, and walkable/bikeable towns.",https://x.com/boys_nicholas/status/1834213567890123489,Public Transport and Reducing Car Dependency,Prioritise investment in public transport
2025-06-01,@BobFromAccounts,It's time to prioritise cyclists by providing separated and safe infrastructure...,https://x.com/BobFromAccounts/status/1933502718392740123,"Streets, Sidewalks, and Public Spaces","Add safer cycle lanes, dedicated bike paths"
,@boys_nicholas,Bikeable designs in town revival (same thread as above).,https://x.com/boys_nicholas/status/1834213567890123489,"Streets, Sidewalks, and Public Spaces","Add safer cycle lanes, dedicated bike paths"
2025-12-01,@sallonsax,"Benches, trees, bit of grass, some flowers... you've got some good public space there.",https://x.com/sallonsax/status/1868293471829374291,"Streets, Sidewalks, and Public Spaces","Widen sidewalks, narrow streets, add trees, benches, planters"
2025-08-01,@pastachips,"Allowing non-car-owners to repurpose parking spaces for benches, planters, etc.",https://x.com/pastachips/status/1824456789012345678,"Streets, Sidewalks, and Public Spaces","Widen sidewalks, narrow streets, add trees, benches, planters"
2025-06-01,@UrbanCourtyard,Narrow streets and widen sidewalks.,https://x.com/UrbanCourtyard/status/1932765491827364291,"Streets, Sidewalks, and Public Spaces","Widen sidewalks, narrow streets, add trees, benches, planters"
,@JamesMelville,"Criticising overgrown pavements and calling for proper cleaning. (Multiple posts, Sep–Nov 2025) Example:",https://x.com/JamesMelville/status/1842893471829374291,Maintenance and Other Practical Ideas,"Better maintenance (potholes, street cleaning, etc.)"
2025-08-01,@theskindoctor13,Proper pothole repair methods vs poor practices.,https://x.com/theskindoctor13/status/1826678912345678901,Maintenance and Other Practical Ideas,"Better maintenance (potholes, street cleaning, etc.)"
